number,season,episode,airdate,title,tvmaze link
1,1,1,11/7/2003,Bat Cave Scavenger,https://www.tvmaze.com/episodes/77856/dirty-jobs-1x01-bat-cave-scavenger
2,1,2,11/14/2003,Worm Dung Farmer,https://www.tvmaze.com/episodes/77857/dirty-jobs-1x02-worm-dung-farmer
3,1,3,11/21/2003,Roadkill Cleaner,https://www.tvmaze.com/episodes/77858/dirty-jobs-1x03-roadkill-cleaner
4,1,4,7/26/2005,Chinatown Garbage Collector,https://www.tvmaze.com/episodes/77859/dirty-jobs-1x04-chinatown-garbage-collector
5,1,5,8/2/2005,Sewer Inspector,https://www.tvmaze.com/episodes/77860/dirty-jobs-1x05-sewer-inspector
6,1,6,8/9/2005,Pig Farmer,https://www.tvmaze.com/episodes/77861/dirty-jobs-1x06-pig-farmer
7,1,7,8/16/2005,Chick Sexer,https://www.tvmaze.com/episodes/77862/dirty-jobs-1x07-chick-sexer
8,1,8,8/23/2005,Vexcon,https://www.tvmaze.com/episodes/77863/dirty-jobs-1x08-vexcon
9,1,9,8/30/2005,Sludge Cleaner,https://www.tvmaze.com/episodes/77864/dirty-jobs-1x09-sludge-cleaner
10,1,10,9/27/2005,Hot Tar Roofer,https://www.tvmaze.com/episodes/77865/dirty-jobs-2x01-hot-tar-roofer
11,1,11,10/4/2005,Ostrich Farmer,https://www.tvmaze.com/episodes/77866/dirty-jobs-2x02-ostrich-farmer
12,1,12,10/11/2005,Cheese Maker,https://www.tvmaze.com/episodes/77867/dirty-jobs-2x03-cheese-maker
13,1,13,10/18/2005,Shrimper,https://www.tvmaze.com/episodes/77868/dirty-jobs-2x04-shrimper
14,1,14,10/25/2005,Bio-Diesel Man,https://www.tvmaze.com/episodes/77869/dirty-jobs-2x05-bio-diesel-man
15,1,15,11/1/2005,Micro-Algae Man,https://www.tvmaze.com/episodes/77870/dirty-jobs-2x06-micro-algae-man
16,1,16,11/8/2005,Chimney Sweeper,https://www.tvmaze.com/episodes/77871/dirty-jobs-2x07-chimney-sweeper
17,1,17,12/13/2005,Avian-vomitologist,https://www.tvmaze.com/episodes/77872/dirty-jobs-2x08-avian-vomitologist
18,1,18,1/17/2006,Turkey Farmer,https://www.tvmaze.com/episodes/77878/dirty-jobs-2x09-turkey-farmer
19,1,19,1/24/2006,Alligator Farmer,https://www.tvmaze.com/episodes/77879/dirty-jobs-2x10-alligator-farmer
20,1,20,3/7/2006,Mushroom Farmer,https://www.tvmaze.com/episodes/77881/dirty-jobs-2x11-mushroom-farmer
21,1,21,3/14/2006,Plumber,https://www.tvmaze.com/episodes/77882/dirty-jobs-2x12-plumber
22,1,22,3/21/2006,Termite Controller,https://www.tvmaze.com/episodes/77883/dirty-jobs-2x13-termite-controller
23,1,23,6/13/2006,Casino Food Recycler,https://www.tvmaze.com/episodes/77884/dirty-jobs-2x14-casino-food-recycler
24,1,24,6/20/2006,Rose Parade Float Dismantler,https://www.tvmaze.com/episodes/77885/dirty-jobs-2x15-rose-parade-float-dismantler
25,1,25,6/27/2006,Garbage Pit Technician,https://www.tvmaze.com/episodes/77886/dirty-jobs-2x16-garbage-pit-technician
26,1,26,3/3/2009,Mike's Day Off,https://www.tvmaze.com/episodes/77963/dirty-jobs-s02-special-mikes-day-off
27,1,27,7/11/2006,Skull Cleaner,https://www.tvmaze.com/episodes/77887/dirty-jobs-2x17-skull-cleaner
28,1,28,7/18/2006,Geoduck Farmer,https://www.tvmaze.com/episodes/77888/dirty-jobs-2x18-geoduck-farmer
29,1,29,7/25/2006,Fuel Tank Cleaner,https://www.tvmaze.com/episodes/77889/dirty-jobs-2x19-fuel-tank-cleaner
30,1,30,8/8/2006,Coal Miner,https://www.tvmaze.com/episodes/77892/dirty-jobs-2x20-coal-miner
31,1,31,8/15/2006,Hoof Cleaner,https://www.tvmaze.com/episodes/77893/dirty-jobs-2x21-hoof-cleaner
32,1,32,8/22/2006,Alpaca Shearer,https://www.tvmaze.com/episodes/77894/dirty-jobs-2x22-alpaca-shearer
33,1,33,8/29/2006,Monkey Caretaker,https://www.tvmaze.com/episodes/77895/dirty-jobs-2x23-monkey-caretaker
34,1,34,9/5/2006,100th Dirty Job Special,https://www.tvmaze.com/episodes/77896/dirty-jobs-s02-special-100th-dirty-job-special
35,2,1,11/28/2006,Snake Researcher,https://www.tvmaze.com/episodes/77897/dirty-jobs-3x01-snake-researcher
